date,item_id,sales
1/1/2013,1,13
1/2/2013,1,11
1/3/2013,1,14
1/4/2013,1,13
1/5/2013,1,10
1/6/2013,1,12
1/7/2013,1,10
1/8/2013,1,9
1/9/2013,1,12
1/10/2013,1,9
1/11/2013,1,9
1/12/2013,1,7
1/13/2013,1,10
1/14/2013,1,12
1/15/2013,1,5
1/16/2013,1,7
1/17/2013,1,16
1/18/2013,1,7
1/19/2013,1,18
1/20/2013,1,15
1/21/2013,1,8
1/22/2013,1,7
1/23/2013,1,9
1/24/2013,1,8
1/25/2013,1,14
1/26/2013,1,12
1/27/2013,1,12
1/28/2013,1,11
1/29/2013,1,6
1/30/2013,1,9
1/31/2013,1,13
2/1/2013,1,11
2/2/2013,1,21
2/3/2013,1,15
2/4/2013,1,14
2/5/2013,1,9
2/6/2013,1,10
2/7/2013,1,13
2/8/2013,1,11
2/9/2013,1,14
2/10/2013,1,11
2/11/2013,1,16
2/12/2013,1,11
2/13/2013,1,14
2/14/2013,1,10
2/15/2013,1,11
2/16/2013,1,7
2/17/2013,1,11
2/18/2013,1,10
2/19/2013,1,10
2/20/2013,1,7
2/21/2013,1,13
2/22/2013,1,12
2/23/2013,1,15
2/24/2013,1,11
2/25/2013,1,7
2/26/2013,1,9
2/27/2013,1,9
2/28/2013,1,10
3/1/2013,1,15
3/2/2013,1,13
3/3/2013,1,20
3/4/2013,1,14
3/5/2013,1,13
3/6/2013,1,17
3/7/2013,1,11
3/8/2013,1,15
3/9/2013,1,16
3/10/2013,1,11
3/11/2013,1,18
3/12/2013,1,14
3/13/2013,1,13
3/14/2013,1,10
3/15/2013,1,14
3/16/2013,1,10
3/17/2013,1,22
3/18/2013,1,11
3/19/2013,1,19
3/20/2013,1,14
3/21/2013,1,17
3/22/2013,1,21
3/23/2013,1,21
3/24/2013,1,19
3/25/2013,1,13
3/26/2013,1,16
3/27/2013,1,11
3/28/2013,1,13
3/29/2013,1,17
3/30/2013,1,19
3/31/2013,1,20
4/1/2013,1,11
4/2/2013,1,19
4/3/2013,1,24
4/4/2013,1,18
4/5/2013,1,19
4/6/2013,1,23
4/7/2013,1,17
4/8/2013,1,19
4/9/2013,1,13
4/10/2013,1,19
4/11/2013,1,16
4/12/2013,1,18
4/13/2013,1,17
4/14/2013,1,26
4/15/2013,1,14
4/16/2013,1,9
4/17/2013,1,17
4/18/2013,1,21
4/19/2013,1,22
4/20/2013,1,22
4/21/2013,1,20
4/22/2013,1,13
4/23/2013,1,11
4/24/2013,1,13
4/25/2013,1,14
4/26/2013,1,20
4/27/2013,1,22
4/28/2013,1,19
4/29/2013,1,11
4/30/2013,1,15
5/1/2013,1,16
5/2/2013,1,23
5/3/2013,1,22
5/4/2013,1,20
5/5/2013,1,14
5/6/2013,1,14
5/7/2013,1,15
5/8/2013,1,14
5/9/2013,1,11
5/10/2013,1,16
5/11/2013,1,19
5/12/2013,1,13
5/13/2013,1,9
5/14/2013,1,13
5/15/2013,1,16
5/16/2013,1,15
5/17/2013,1,16
5/18/2013,1,20
5/19/2013,1,19
